"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"IGNORE1";"BoardText";1;"Screen v0.6";
2;"J4";"swd_header";1;"swd_4pin";
3;"U1";"2InchScreen";1;"ScreenOutline";
4;"H2,H4,H1,H3";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
5;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
6;"J3";"FFC_connector_12p_hinge_lock_0.5mm";1;"FFC_connector_12p_hinge_lock_0.5mm";
7;"J5,J6";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
8;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
9;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
10;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
11;"Q2";"SOT-23";1;"N_MOSFET";
12;"C1";"C_0402_1005Metric";1;"0.1uF";
13;"J7";"FFC_connector_10p_hinge_lock";1;"FFC_connector_10p_hinge_lock";
14;"J2";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
15;"R5";"R_0402_1005Metric";1;"10R";
16;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
17;"R7";"R_0402_1005Metric";1;"10K";
