"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C4,C13,C14,C8,C2";"C_0402_1005Metric";6;"4.7uF";
2;"J1,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
3;"R13";"R_0805_2012Metric";1;"0.01R";
4;"Q6,Q2";"SOT-23";2;"PMOS_2A";
5;"C10,C5,C11";"C_0805_2012Metric";3;"22uF_25V";
6;"D2";"LED_SML-D12D1WT86";1;"red_led";
7;"SW1";"side_spst_switch";1;"side_spst_switch";
8;"C7";"C_0402_1005Metric";1;"10pF";
9;"J5,J8";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";2;"ConnBattery_JST_S2B-PH-K-S";
10;"IGNORE1";"BoardText";1;"Battery v0.5";
11;"J2";"USB_C_Receptacle_power_only_6P";1;"USB_C_power_only_connector";
12;"U6";"SOT-23-5";1;"INA180A3";
13;"IC1";"USBLC6-2P6";1;"USBLC6-2P6";
14;"U8";"SOT-23-6";1;"TP4057";
15;"R5,R6,R18,R19";"R_0402_1005Metric";4;"10K";
16;"U5";"TPS61230A";1;"TPS61230A";
17;"J4";"swd_header";1;"swd_4pin";
18;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
19;"C1,C3,C12";"C_0402_1005Metric";3;"0.1uF";
20;"R10";"R_0402_1005Metric";1;"150K";
21;"R9";"R_0402_1005Metric";1;"510K";
22;"R16";"R_0402_1005Metric";1;"330R";
23;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
24;"U4";"XB7608AJ";1;"XB7608AJ";
25;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
26;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
27;"R12,R17,R11";"R_0402_1005Metric";3;"5.1K";
28;"R15,R14,R20";"R_0402_1005Metric";3;"100K";
29;"L1";"L_1008_2520Metric";1;"1uH_3.2A";
30;"R7";"R_0402_1005Metric";1;"1K";
31;"Q5";"SOT-23";1;"N_MOSFET";
32;"U1";"SOT-583-8";1;"TPS2116DRL";
33;"C6";"C_0402_1005Metric";1;"10nF";
34;"IGNORE5,IGNORE6,IGNORE6,IGNORE5,IGNORE5";"BoardText";5;"-";
35;"IGNORE3";"BoardText";1;"OFF";
36;"IGNORE4,IGNORE4,IGNORE7,IGNORE7";"BoardText";4;"+";
37;"J6";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
38;"IGNORE2";"BoardText";1;"ON";
39;"IGNORE8";"BoardText";1;"Only connect";
40;"J7";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
41;"IGNORE9";"BoardText";1;"1 battery!";
