Comment,Designator,Footprint,LCSC Part Number
WS2812B,"D34,D48,D12,D2,D37,D47,D39,D42,D11,D3,D18,D16,D15,D29,D17,D38,D28,D4,D36,D43,D21,D14,D26,D24,D8,D22,D40,D32,D6,D10,D49,D44,D41,D35,D31,D33,D20,D30,D46,D9,D27,D13,D23,D1,D25,D19,D7,D5,D45",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
N_MOSFET,Q1,SOT-23,C8545
STM32G030F6P6,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
FFC_connector_16p_hinge_lock,"J4,J5",FFC_connector_16p_hinge_lock,C262665
22uF_10V,"C8,C6,C11,C15,C16,C7,C13,C12",C_0603_1608Metric,C86295
4.7uF,"C3,C2,C1",C_0402_1005Metric,C23733
75R,"R1,R3,R5,R6",R_0402_1005Metric,C25133
1K,"R4,R2",R_0402_1005Metric,C11702
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
0.1uF,C4,C_0402_1005Metric,C1525
ME6211C33M5G-N,U1,SOT-23-5,C81233
01x06_2.54mm_Female,J2,01x06_2.54mm_Female,C5142239
