Comment,Designator,Footprint,LCSC Part Number
FFC_connector_16p_hinge_lock,J12,FFC_connector_16p_hinge_lock,C262665
2p_picoblade,"J2,J5",Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C189700
4.7uF,"C9,C7,C5,C3,C8,C12,C2",C_0402_1005Metric,C23733
220pF,"C10,C4",C_0402_1005Metric,C1530
75R,"R4,R9,R10,R11",R_0402_1005Metric,C25133
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
0.1uF,"C1,C11,C17,C6,C18,C13,C14",C_0402_1005Metric,C1525
10K,"R8,R3",R_0402_1005Metric,C25744
ME6211C33M5G-N,U2,SOT-23-5,C81233
750K,R2,R_0402_1005Metric,C43291
MAX98357AETE+T,U4,QFN50P300X300X80-17N,C910544
470R,"R1,R5",R_0402_1005Metric,C25117
PAM8302AAS,"U5,U1",MSOP-8_3x3mm_P0.65mm,C113367
STM32F072RBTx,U3,LQFP-64_10x10mm_P0.5mm,C46046
