"Id";"Designator";"Footprint";"Quantity";"Designation";
101;"BATIGNORE3";"BoardText";1;"OFF";
102;"BATIGNORE4,BATIGNORE4,BATIGNORE7,BATIGNORE7";"BoardText";4;"+";
103;"MOTIGNORE3";"BoardText";1;"Motor 1";
104;"SERIGNORE10";"BoardText";1;"Servo6";
105;"SERIGNORE5";"BoardText";1;"Servo1";
106;"SERIGNORE8";"BoardText";1;"Servo4";
107;"BEXIGNORE3";"BoardText";1;"11";
108;"SERIGNORE6";"BoardText";1;"Servo2";
109;"SCRJ3";"FFC_connector_22p_hinge_lock";1;"FFC_connector_22p_dual_sided";
110;"SERIGNORE7";"BoardText";1;"Servo3";
111;"BATIGNORE2";"BoardText";1;"ON";
112;"BATIGNORE8";"BoardText";1;"Only connect";
113;"SERIGNORE9";"BoardText";1;"Servo5";
114;"BATIGNORE9";"BoardText";1;"1 battery!";
115;"BEXIGNORE4";"BoardText";1;"12";
116;"SCRR5";"R_0402_1005Metric";1;"10R";
