Ref,Val,Package,PosX,PosY,Rot,Side
"JOYJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-66.5000,180.0,bottom
"SCRQ2","N_MOSFET","SOT-23",26.1900,-137.5400,0.0,bottom
"SCRC1","0.1uF","C_0402_1005Metric",14.3300,-130.6350,180.0,bottom
"MATU1","ME6211C33M5G-N","SOT-23-5",100.6000,-154.5750,-90.0,bottom
"SCRU3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",19.0400,-131.4900,0.0,bottom
"MATC13","22uF_10V","C_0603_1608Metric",90.8900,-148.5775,180.0,bottom
"SCRC9","4.7uF","C_0402_1005Metric",20.0700,-139.7250,180.0,bottom
"BATIGNORE7","+","BoardText",32.8421,-9.2500,180.0,bottom
"MATR5","75R","R_0402_1005Metric",84.4375,-157.7200,90.0,bottom
"BATIGNORE7","+","BoardText",32.8421,-19.0051,180.0,bottom
"LEDJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",169.6000,-66.5000,180.0,bottom
"MATJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",110.9000,-120.5000,0.0,bottom
"SCRU2","ME6211C33M5G-N","SOT-23-5",17.5700,-139.2600,90.0,bottom
"MATC12","22uF_10V","C_0603_1608Metric",105.9750,-120.5500,90.0,bottom
"SCRJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-120.5000,0.0,bottom
"MATR6","75R","R_0402_1005Metric",84.4625,-156.6200,90.0,bottom
"POWJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",179.9000,-93.5000,0.0,bottom
"MATR2","1K","R_0402_1005Metric",84.8250,-145.8500,90.0,bottom
"SCRR5","10R","R_0402_1005Metric",29.5400,-138.2100,-90.0,bottom
"JOYJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-66.5000,0.0,bottom
"TMPJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",135.1000,-66.5000,180.0,bottom
"SCRJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-120.5000,180.0,bottom
"BATIGNORE5","-","BoardText",39.8500,-9.2449,180.0,bottom
"DISJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",169.6000,-39.5000,180.0,bottom
"SCRR7","10K","R_0402_1005Metric",23.5900,-138.6400,180.0,bottom
