"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
2;"J5,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
3;"SW1,SW2,SW4,SW3,SW6";"SW_SPST_PTS645";5;"button_6x6x7";
4;"R9,R6,R8,R5,R7";"R_0402_1005Metric";5;"10K";
5;"IGNORE1";"BoardText";1;"Buttons v0.5";
6;"J4";"swd_header";1;"swd_4pin";
7;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
8;"H3,H4,H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
9;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
10;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
11;"C1";"C_0402_1005Metric";1;"0.1uF";
12;"D2";"D_SOD-123";1;"1N4148W";
13;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
14;"J2";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
