Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J5,J3",FFC_connector_16p_hinge_lock,C262665
button_6x6x7,"SW1,SW2,SW4,SW3,SW6",SW_SPST_PTS645,C381064
10K,"R9,R6,R8,R5,R7",R_0402_1005Metric,C25744
ME6211C33M5G-N,U2,SOT-23-5,C81233
75R,"R2,R3,R4,R1",R_0402_1005Metric,C25133
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
0.1uF,C1,C_0402_1005Metric,C1525
1N4148W,D2,D_SOD-123,C81598
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,J2,01x06_2.54mm_Female,C5142239
