"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C3,C8";"C_0402_1005Metric";3;"4.7uF";
2;"C12,C5,C13,C11,C10,C6,C7,C14";"C_0805_2012Metric";8;"22uF_25V";
3;"J9,J10,J5,J8,J2,J6,J11,J7";"PinHeader_1x03_P2.54mm_Vertical";8;"Conn_01x03_Pin";
4;"H3,H4,H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
5;"R5,R6,R8,R7";"R_0402_1005Metric";4;"75R";
6;"J12,J13";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
7;"U1";"LQFP-32_7x7mm_P0.8mm";1;"STM32G030K6T6";
8;"C4";"C_0402_1005Metric";1;"0.1uF";
9;"IGNORE1";"BoardText";1;"Servo v0.5";
10;"J4";"swd_header";1;"swd_4pin";
11;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
12;"IGNORE12";"BoardText";1;"Servo8";
13;"IGNORE11";"BoardText";1;"Servo7";
14;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
15;"J3";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
16;"IGNORE4";"BoardText";1;"DATA";
17;"IGNORE10";"BoardText";1;"Servo6";
18;"IGNORE5";"BoardText";1;"Servo1";
19;"IGNORE8";"BoardText";1;"Servo4";
20;"IGNORE6";"BoardText";1;"Servo2";
21;"IGNORE7";"BoardText";1;"Servo3";
22;"IGNORE9";"BoardText";1;"Servo5";
23;"IGNORE3";"BoardText";1;"5V";
24;"IGNORE2";"BoardText";1;"GND";
