"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
2;"U1";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";1;"DRV8833PWP";
3;"J1";"FFC_connector_16p_hinge_lock";1;"FFC_connector_16p_hinge_lock";
4;"H4,H3,H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
5;"C15,C10,C12,C4,C14,C13,C11,C16";"C_0805_2012Metric";8;"22uF_25V";
6;"C5";"C_0402_1005Metric";1;"0.1uF_50V";
7;"J2,J6";"JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal";2;"SM06B-SRSS-TB";
8;"IGNORE1";"BoardText";1;"Motor v0.5";
9;"J9,J8";"S2B-ZR-SM4A-TF";2;"S2B-ZR-SM4A-TF";
10;"J4";"swd_header";1;"swd_4pin";
11;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
12;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
13;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
14;"C1";"C_0402_1005Metric";1;"0.1uF";
15;"C6";"C_0402_1005Metric";1;"2.2uF";
16;"R5,R6";"R_1210_3225Metric";2;"0.2R";
17;"J5";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
18;"IGNORE2";"BoardText";1;"Motor 0";
19;"IGNORE3";"BoardText";1;"Motor 1";
20;"J7";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
