Designator,Mid X,Mid Y,Layer,Rotation
SPKC10,13.95mm,-64.4mm,Bottom,270
SPKR7,37.98mm,-65.48mm,Bottom,0
SPKR4,36.95mm,-59.8mm,Bottom,0
SPKR9,37.91mm,-66.65mm,Bottom,0
SPKR6,37.91mm,-64.3mm,Bottom,0
MOTJ5,8.1mm,-39.5mm,Bottom,90
MOTC15,30.35mm,-41.5mm,Bottom,90
MOTC10,20.22mm,-41.38mm,Bottom,90
SPKJ3,47.1mm,-66.5mm,Bottom,270
SPKC8,43.65mm,-57.8mm,Bottom,90
SPKC11,33.7mm,-61.8mm,Bottom,270
SPKC4,14.35mm,-62.85mm,Bottom,0
SPKC12,17.65mm,-61.95mm,Bottom,0
SPKJ1,7.3mm,-66.5mm,Bottom,90
MOTC12,24.2mm,-41.38mm,Bottom,90
SPKR2,23.35mm,-62.4mm,Bottom,180
BATJ6,47.4mm,-12.5mm,Bottom,270
MOTJ7,47.4mm,-39.5mm,Bottom,270
SPKC15,34.9mm,-62.8mm,Bottom,90
MOTC4,18.2mm,-41.38mm,Bottom,90
LIGJ2,81.9mm,-12.5mm,Bottom,270
SPKC9,38.65mm,-56.93mm,Bottom,270
BATJ7,8.1mm,-12.5mm,Bottom,90
MOTC14,28.37mm,-41.5mm,Bottom,90
LIGJ1,71.6mm,-12.5mm,Bottom,90
MOTC13,26.4mm,-41.5mm,Bottom,90
MOTC11,22.2mm,-41.38mm,Bottom,90
MOTC16,32.37mm,-41.51mm,Bottom,90
SPKU2,41.15mm,-57.4mm,Bottom,90
SPKU3,28.85mm,-62.69mm,Bottom,270
SPKU1,17.55mm,-64.35mm,Bottom,270
