Comment,Designator,Footprint,LCSC Part Number
4.7uF,"USBC9,DIAC9,USBC2,WIRC11,LIGC9,BUTC8,TMPC9,JOYC9,DISC8,WIRC12,BTSC9,JOYC8,LIGC2,LEDC8,USBC8,DIAC8,LEDC2,LEDC9,DISC5,BUTC2,JOYC2,WIRC9,LIGC8,USBC5,TMPC8,WIRC2,DISC3,BTSC2,DIAC2,BTSC8,LIGC3,USBC1,TMPC3,BUTC9,DISC4,WIRC8,DISC9,TMPC2,WIRC15",C_0402_1005Metric,C23733
75R,"BUTR1,LEDR2,JOYR4,DISR8,BTSR2,LIGR3,LEDR3,LIGR2,TMPR2,DISR10,TMPR1,LIGR4,USBR7,DIAR4,BUTR3,BTSR3,BTSR1,BTSR4,BUTR4,LEDR1,USBR4,DISR9,TMPR3,LIGR1,USBR5,TMPR4,DIAR3,JOYR2,DISR7,USBR6,JOYR1,BUTR2,DIAR1,JOYR3,DIAR2,LEDR4",R_0402_1005Metric,C25133
5.1K,"POWR1,POWR2,USBR2,USBR1",R_0402_1005Metric,C25905
FFC_connector_16p_hinge_lock,"LEDJ7,BTSJ5,BUTJ3,DISJ5,BUTJ1,WIRJ5,JOYJ5,USBJ5,LIGJ5,JOYJ2,POWJ5,BTSJ3,WIRJ3,DISJ3,LEDJ5,USBJ6,DIAJ1,TMPJ3,LIGJ3,DIAJ2,TMPJ5,POWJ6",FFC_connector_16p_hinge_lock,C262665
10K,"TMPR5,LIGR5,DIAR5,BUTR5,BTSR9,DISR5,BTSR6,DISR6,BTSR8,JOYR6,BTSR5,LIGR6,TMPR6,BTSR7",R_0402_1005Metric,C25744
HDC1080,TMPU1,Texas_PWSON-N6,C82227
47uF_16V,LEDC4,C_1210_3225Metric,C77101
ME6211C33M5G-N,"DISU2,TMPU2,JOYU2,USBU2,LEDU2,WIRU2,LIGU2,WIRU1,BTSU2,DIAU2,BUTU2",SOT-23-5,C81233
12pF,"DISC6,USBC6,USBC7,WIRC6,WIRC5,DISC7",C_0402_1005Metric,C1547
Joystick,JOYU1,Joystick,C146170
0.1uF,"JOYC1,BUTC1,LIGC1,DISC11,LEDC1,BTSC1,WIRC1,USBC4,TMPC1,DIAC1",C_0402_1005Metric,C1525
STM32G030F6P6,"BUTU3,DIAU3,LIGU3,JOYU3,WIRU3,TMPU3,LEDU3,BTSU3",TSSOP-20_4.4x6.5mm_P0.65mm,C529330
22K,WIRR6,R_0402_1005Metric,C25768
2.7nH,WIRL4,C_0402_1005Metric,C880718
button_6x6x7,"BTSSW1,BUTSW2,BTSSW2,BTSSW4,BTSSW3,BTSSW6",SW_SPST_PTS645,C381064
1.5K,USBR12,R_0402_1005Metric,C25867
USBLC6-4SC6,"POWIC1,USBIC1",SOT-23-6,C558419
1N4148W,"DIAD2,BUTD3,BTSD2",D_SOD-123,C81598
2.2nF,WIRC4,C_0402_1005Metric,C1531
STM32F103C8T6,"USBU1,DISU3",LQFP-48_7x7mm_P0.5mm,C8734
1K,"BUTR6,LEDR7,LEDR5",R_0402_1005Metric,C11702
Crystal_16M_small,"WIRY2,USBY2,DISY1",Crystal_SMD_2016-4Pin_2.0x1.6mm,C252270
4.7pF,WIRC14,C_0402_1005Metric,C1569
1.5pF,WIRC10,C_0402_1005Metric,C1552
3.9nH,WIRL3,C_0402_1005Metric,C14033
VL53L3CXV0DH,DISU1,VL53L3CXV0DH,C1864163
N_MOSFET,"LEDQ3,BUTQ1",SOT-23,C8545
22uF_10V,WIRC13,C_0603_1608Metric,C86295
120R,"WIRR2,WIRR3,WIRR4,WIRR1",R_0402_1005Metric,C25079
RotaryEncoder_Switch,DIASW7,RotaryEncoderEC12D,C112349
NRF24L01,WIRU4,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C8791
WMM7027ATSN1-4/TR,LIGU4,LGA-4,C2931973
ws2812b_1615,BUTD2,WS2812B_1615,C5349954
1pF,WIRC7,C_0402_1005Metric,C1550
TerminalBlock_3P_3.8_black,LEDJ2,TerminalBlock_03_P3.81mm_Horizontal,C881704
USB_C_connector_16P,"POWJ2,USBJ2",USB_C_Receptacle_16P,C319148
8.2nH,WIRL1,C_0402_1005Metric,C16208
33nF,WIRC3,C_0402_1005Metric,C1585
LTR-381RGB,LIGU1,LTR-381RGB,C2944020
01x06_2.54mm_Male,"USBJ1,LEDJ1,TMPJ1,BTSJ1,LIGJ1,DIAJ3,BUTJ2,JOYJ1,WIRJ1,DISJ1,POWJ1",01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,"WIRJ2,DIAJ5,BTSJ2,LIGJ2,USBJ3,BUTJ5,DISJ2,POWJ3,LEDJ3,TMPJ2,JOYJ3",01x06_2.54mm_Female,C5142239
