"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C13,C2";"C_0402_1005Metric";4;"4.7uF";
2;"J1,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
3;"R6";"R_0402_1005Metric";1;"22K";
4;"L4";"C_0402_1005Metric";1;"2.7nH";
5;"C4";"C_0402_1005Metric";1;"2.2nF";
6;"IGNORE1";"BoardText";1;"Wireless v1.0";
7;"Y2";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal_16M_small";
8;"C14";"C_0402_1005Metric";1;"4.7pF";
9;"C10";"C_0402_1005Metric";1;"1.5pF";
10;"J4";"swd_header";1;"swd_4pin";
11;"L3";"C_0402_1005Metric";1;"3.9nH";
12;"R2,R3,R4,R1";"R_0402_1005Metric";4;"120R";
13;"U1";"SOT-89-3";1;"ME6211A33PG-N";
14;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
15;"U4";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"NRF24L01";
16;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
17;"C7";"C_0402_1005Metric";1;"1pF";
18;"C6,C5";"C_0402_1005Metric";2;"12pF";
19;"C1";"C_0402_1005Metric";1;"0.1uF";
20;"L1";"C_0402_1005Metric";1;"8.2nH";
21;"C3";"C_0402_1005Metric";1;"33nF";
22;"AE3";"CYPRESS_IFA_ANTENNA";1;"Cypress_IFA_Antenna";
